"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Egypt,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,294.482,303.194,321.634,350.119,351.443,246.826,263.156,317.894,382.525,423.3,475.231,393.828,383.105,349.264,399.508,438.709,485.26,535.985,589.853
El Salvador,3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.021,26.881,24.921,29.043,31.87,33.854,35.365,36.587,37.981,39.971,42.094,44.064,46.246
Equatorial Guinea,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.159,1.674,2.07,3.733,5.935,8.191,10.096,13.091,19.828,15.072,16.328,21.354,22.403,21.949,21.771,13.187,11.238,12.197,13.309,11.365,9.908,12.222,13.717,12.339,12.769,13.467,14.103,14.322,14.722,15.368,16.181
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.606,0.374,0.433,0.483,0.579,0.594,0.626,0.614,0.547,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.016,2.213,1.904,2.006,1.982,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.791,2.507,3.909,4.785,5.16,5.678,5.771,5.707,6.265,7.393,9.894,12.161,14.129,17.049,22.478,24.434,19.694,19.569,23.3,23.252,25.451,27.063,23.314,24.554,27.46,31.237,31.877,31.795,37.226,38.257,41.482,43.117,46.763,51.036,53.619,56.106,58.687,61.302
Eswatini,0.733,0.775,0.693,0.713,0.61,0.482,0.617,0.807,0.958,0.977,1.201,1.247,1.384,1.454,1.575,1.876,1.777,1.901,1.745,1.713,1.689,1.499,1.394,2.134,2.694,3.085,3.198,3.365,3.203,3.492,4.31,4.686,4.745,4.467,4.289,3.907,3.723,4.468,4.645,4.617,4.122,4.786,4.741,4.604,4.944,5.201,5.495,5.724,5.927,6.127,6.317
Ethiopia,7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,7.887,8.794,8.621,7.815,7.515,8.167,8.103,7.828,8.604,10.122,12.387,15.31,19.329,26.25,28.672,26.887,30.48,42.221,46.544,54.165,63.081,72.12,76.841,80.207,92.608,96.611,99.261,118.958,159.761,142.073,109.492,125.744,143.648,165.178,190.026,217.932
Fiji,1.303,1.339,1.293,1.217,1.276,1.236,1.398,1.276,1.202,1.281,1.448,1.5,1.659,1.772,1.977,2.134,2.307,2.268,1.795,2.104,1.824,1.798,1.996,2.509,2.954,3.257,3.361,3.688,3.816,3.106,3.402,4.094,4.303,4.539,4.857,4.682,4.93,5.353,5.581,5.345,4.228,4.159,4.978,5.477,5.968,6.336,6.696,7.054,7.435,7.836,8.261
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.726,128.215,113.139,89.177,103.621,134.21,132.046,127.027,134.164,135.369,126.023,129.521,140.262,171.57,197.369,204.973,217.056,256.39,285.667,253.206,249.633,275.079,257.606,270.272,273.549,233.234,238.712,253.757,273.993,267.044,269.784,294.419,280.474,295.135,298.607,314.724,335.534,346.309,356.83,368.667,381.547
France,695.475,612.552,581.254,555.956,526.671,551.596,766.302,927.257,1012.843,1017.702,1260.874,1263.244,1392.563,1315.795,1388.477,1596.25,1599.248,1451.058,1498.974,1488.392,1361.56,1370.386,1491.373,1834.637,2108.835,2193.358,2317.985,2656.13,2926.483,2697.144,2648.391,2869.903,2684.706,2816.119,2861.973,2442.731,2469.726,2587.955,2782.838,2723.094,2645.806,2968.405,2796.987,3061.093,3160.902,3361.557,3558.562,3661.084,3772.836,3890.001,4009.171
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.83,16.875,15.364,19.455,20.485,20.059,20.9,21.455,22.726,23.635,24.659,25.761,26.903
